enrollment_id,student_id,course_id,enrolled_date,completion_status,completion_date,progress_pct,rating
ENR00001,STU0001,CRS015,2024-02-20,In Progress,,47,
ENR00002,STU0002,CRS038,2024-05-26,Completed,2024-12-21,100,3.8
ENR00003,STU0002,CRS007,2024-07-29,Completed,2024-08-31,100,3.5
ENR00004,STU0003,CRS026,2022-04-30,In Progress,,17,
ENR00005,STU0003,CRS021,2022-07-10,Completed,2022-12-25,100,3.9
ENR00006,STU0003,CRS039,2023-09-03,In Progress,,68,
ENR00007,STU0003,CRS029,2023-12-02,In Progress,,26,
ENR00008,STU0003,CRS018,2024-06-11,Completed,2024-08-17,100,4.7
ENR00009,STU0003,CRS015,2022-06-02,Completed,2024-05-04,100,3.6
ENR00010,STU0004,CRS014,2023-10-13,Completed,2024-10-11,100,3.5
ENR00011,STU0005,CRS033,2024-02-22,In Progress,,70,
ENR00012,STU0005,CRS004,2022-02-19,In Progress,,17,
ENR00013,STU0005,CRS020,2021-09-03,Completed,2022-12-02,100,3.3
ENR00014,STU0005,CRS017,2023-09-11,In Progress,,82,
ENR00015,STU0005,CRS012,2024-11-14,In Progress,,9,
ENR00016,STU0005,CRS002,2021-12-20,Completed,2024-06-15,100,4.6
ENR00017,STU0005,CRS026,2023-06-20,Completed,2024-10-04,100,3.1
ENR00018,STU0006,CRS026,2024-03-07,In Progress,,35,
ENR00019,STU0006,CRS032,2024-10-30,In Progress,,4,
ENR00020,STU0006,CRS002,2024-04-08,In Progress,,63,
ENR00021,STU0006,CRS025,2024-12-03,Completed,2024-12-11,100,3.8
ENR00022,STU0006,CRS028,2024-02-21,In Progress,,67,
ENR00023,STU0006,CRS012,2023-08-20,In Progress,,91,
ENR00024,STU0006,CRS023,2024-12-04,In Progress,,62,
ENR00025,STU0007,CRS025,2022-04-01,In Progress,,35,
ENR00026,STU0007,CRS018,2024-09-23,In Progress,,74,
ENR00027,STU0007,CRS012,2022-12-23,Completed,2024-10-25,100,3.5
