payment_id,student_id,course_id,enrollment_id,amount,payment_date,payment_method,status
PAY00001,STU0001,CRS015,ENR00001,49.99,2024-02-20,UPI,Successful
PAY00002,STU0002,CRS038,ENR00002,9.99,2024-05-26,Bank Transfer,Successful
PAY00003,STU0002,CRS007,ENR00003,14.99,2024-07-29,Stripe,Successful
PAY00004,STU0004,CRS014,ENR00010,49.99,2023-10-13,Stripe,Successful
PAY00005,STU0005,CRS033,ENR00011,24.99,2024-02-22,PayPal,Successful
PAY00006,STU0005,CRS004,ENR00012,79.99,2022-02-19,Credit Card,Successful
PAY00007,STU0005,CRS020,ENR00013,79.99,2021-09-03,UPI,Successful
PAY00008,STU0005,CRS017,ENR00014,24.99,2023-09-11,Credit Card,Successful
PAY00009,STU0005,CRS012,ENR00015,19.99,2024-11-14,Credit Card,Successful
PAY00010,STU0005,CRS002,ENR00016,14.99,2021-12-20,Credit Card,Successful
PAY00011,STU0005,CRS026,ENR00017,9.99,2023-06-20,Bank Transfer,Successful
PAY00012,STU0006,CRS026,ENR00018,9.99,2024-03-07,Stripe,Successful
PAY00013,STU0006,CRS032,ENR00019,14.99,2024-10-30,Bank Transfer,Successful
PAY00014,STU0006,CRS002,ENR00020,14.99,2024-04-08,UPI,Successful
PAY00015,STU0006,CRS025,ENR00021,79.99,2024-12-03,UPI,Successful
PAY00016,STU0006,CRS028,ENR00022,24.99,2024-02-21,PayPal,Successful
PAY00017,STU0006,CRS012,ENR00023,19.99,2023-08-20,Stripe,Successful
PAY00018,STU0006,CRS023,ENR00024,19.99,2024-12-04,Stripe,Successful
PAY00019,STU0007,CRS025,ENR00025,79.99,2022-04-01,Credit Card,Successful
PAY00020,STU0007,CRS018,ENR00026,24.99,2024-09-23,PayPal,Successful
PAY00021,STU0007,CRS012,ENR00027,19.99,2022-12-23,Bank Transfer,Successful
PAY00022,STU0007,CRS002,ENR00028,14.99,2022-05-25,Bank Transfer,Successful
PAY00023,STU0007,CRS021,ENR00029,19.99,2024-04-05,Bank Transfer,Successful
PAY00024,STU0007,CRS015,ENR00030,49.99,2023-11-13,Stripe,Successful
PAY00025,STU0008,CRS023,ENR00031,19.99,2024-02-27,PayPal,Successful
PAY00026,STU0013,CRS037,ENR00045,29.99,2022-11-13,Stripe,Successful
PAY00027,STU0013,CRS007,ENR00046,14.99,2022-10-20,Stripe,Successful
PAY00028,STU0013,CRS032,ENR00047,14.99,2023-07-07,Credit Card,Successful
PAY00029,STU0013,CRS010,ENR00048,49.99,2022-12-22,Credit Card,Successful
PAY00030,STU0014,CRS029,ENR00049,14.99,2024-06-15,Bank Transfer,Successful
PAY00031,STU0014,CRS027,ENR00050,19.99,2022-08-28,Credit Card,Successful
PAY00032,STU0014,CRS011,ENR00051,9.99,2023-01-17,Credit Card,Successful
PAY00033,STU0014,CRS039,ENR00052,79.99,2023-04-24,Credit Card,Successful
PAY00034,STU0014,CRS032,ENR00053,14.99,2024-06-17,Stripe,Successful
PAY00035,STU0014,CRS025,ENR00054,79.99,2024-09-21,Credit Card,Successful
PAY00036,STU0014,CRS023,ENR00055,19.99,2023-10-24,Bank Transfer,Successful
PAY00037,STU0015,CRS011,ENR00056,9.99,2024-10-21,Bank Transfer,Successful
PAY00038,STU0015,CRS004,ENR00057,79.99,2023-03-10,PayPal,Successful
PAY00039,STU0015,CRS007,ENR00058,14.99,2022-03-28,UPI,Successful
PAY00040,STU0015,CRS022,ENR00059,14.99,2022-07-24,Stripe,Successful
PAY00041,STU0015,CRS014,ENR00060,49.99,2024-05-23,Stripe,Successful
PAY00042,STU0015,CRS013,ENR00061,79.99,2022-02-27,Stripe,Successful
PAY00043,STU0015,CRS027,ENR00062,19.99,2023-12-06,Stripe,Successful
PAY00044,STU0016,CRS035,ENR00063,14.99,2023-05-08,UPI,Successful
PAY00045,STU0016,CRS025,ENR00064,79.99,2022-12-15,Stripe,Successful
PAY00046,STU0017,CRS010,ENR00065,49.99,2024-12-30,UPI,Successful
PAY00047,STU0018,CRS036,ENR00066,49.99,2023-05-08,UPI,Successful
PAY00048,STU0018,CRS004,ENR00067,79.99,2024-03-18,Stripe,Successful
PAY00049,STU0018,CRS025,ENR00068,79.99,2021-06-11,Bank Transfer,Successful
PAY00050,STU0018,CRS034,ENR00069,9.99,2024-03-16,PayPal,Successful
PAY00051,STU0019,CRS029,ENR00070,14.99,2024-06-26,PayPal,Successful
PAY00052,STU0019,CRS012,ENR00071,19.99,2024-04-23,UPI,Successful
PAY00053,STU0020,CRS010,ENR00072,49.99,2022-07-29,Stripe,Successful
PAY00054,STU0020,CRS039,ENR00073,79.99,2023-09-30,Bank Transfer,Successful
PAY00055,STU0020,CRS017,ENR00074,24.99,2024-07-20,Bank Transfer,Successful
PAY00056,STU0020,CRS021,ENR00075,19.99,2022-10-05,Credit Card,Successful
PAY00057,STU0021,CRS035,ENR00076,14.99,2024-06-05,UPI,Successful
PAY00058,STU0021,CRS023,ENR00077,19.99,2022-09-12,Bank Transfer,Successful
PAY00059,STU0021,CRS027,ENR00078,19.99,2024-07-02,UPI,Successful
PAY00060,STU0021,CRS017,ENR00079,24.99,2023-07-10,UPI,Successful
PAY00061,STU0021,CRS025,ENR00080,79.99,2023-05-07,Stripe,Successful
PAY00062,STU0022,CRS020,ENR00081,79.99,2022-09-11,Stripe,Successful
PAY00063,STU0022,CRS018,ENR00082,24.99,2023-01-27,Credit Card,Successful
PAY00064,STU0022,CRS032,ENR00083,14.99,2022-11-05,UPI,Successful
PAY00065,STU0022,CRS007,ENR00084,14.99,2024-06-12,Credit Card,Successful
PAY00066,STU0022,CRS015,ENR00085,49.99,2023-10-06,Stripe,Successful
PAY00067,STU0024,CRS017,ENR00093,24.99,2024-04-07,PayPal,Successful
PAY00068,STU0024,CRS006,ENR00094,79.99,2024-07-15,PayPal,Successful
PAY00069,STU0024,CRS019,ENR00095,79.99,2024-08-08,Credit Card,Successful
PAY00070,STU0025,CRS031,ENR00096,49.99,2022-07-27,Credit Card,Successful
PAY00071,STU0026,CRS017,ENR00097,24.99,2024-06-30,UPI,Successful
PAY00072,STU0026,CRS039,ENR00098,79.99,2024-04-04,Bank Transfer,Successful
PAY00073,STU0026,CRS020,ENR00099,79.99,2024-06-17,Bank Transfer,Successful
PAY00074,STU0026,CRS018,ENR00100,24.99,2024-10-31,Bank Transfer,Successful
PAY00075,STU0027,CRS020,ENR00101,79.99,2023-04-20,Stripe,Successful
PAY00076,STU0027,CRS007,ENR00102,14.99,2023-06-04,Credit Card,Successful
PAY00077,STU0027,CRS031,ENR00103,49.99,2024-01-06,PayPal,Successful
PAY00078,STU0027,CRS005,ENR00104,14.99,2021-11-22,Stripe,Successful
PAY00079,STU0027,CRS022,ENR00105,14.99,2024-02-05,Credit Card,Successful
PAY00080,STU0028,CRS022,ENR00106,14.99,2024-06-27,Bank Transfer,Successful
PAY00081,STU0028,CRS015,ENR00107,49.99,2023-12-28,Stripe,Successful
PAY00082,STU0028,CRS035,ENR00108,14.99,2023-12-30,Credit Card,Successful
PAY00083,STU0028,CRS031,ENR00109,49.99,2024-02-08,Stripe,Successful
PAY00084,STU0029,CRS017,ENR00110,24.99,2023-09-27,Bank Transfer,Successful
PAY00085,STU0029,CRS038,ENR00111,9.99,2024-12-26,PayPal,Successful
PAY00086,STU0029,CRS019,ENR00112,79.99,2024-05-13,Stripe,Successful
PAY00087,STU0029,CRS030,ENR00113,24.99,2024-03-29,PayPal,Successful
PAY00088,STU0029,CRS008,ENR00114,19.99,2024-02-22,UPI,Successful
PAY00089,STU0029,CRS031,ENR00115,49.99,2023-11-12,Credit Card,Successful
PAY00090,STU0030,CRS022,ENR00116,14.99,2024-12-27,PayPal,Successful
PAY00091,STU0030,CRS012,ENR00117,19.99,2024-08-10,PayPal,Successful
PAY00092,STU0030,CRS021,ENR00118,19.99,2024-10-13,UPI,Successful
PAY00093,STU0030,CRS004,ENR00119,79.99,2024-07-10,Credit Card,Successful
PAY00094,STU0030,CRS001,ENR00120,49.99,2023-12-23,Stripe,Successful
PAY00095,STU0030,CRS029,ENR00121,14.99,2023-12-11,PayPal,Successful
PAY00096,STU0030,CRS018,ENR00122,24.99,2023-12-13,PayPal,Successful
PAY00097,STU0030,CRS014,ENR00123,49.99,2024-03-28,Stripe,Successful
PAY00098,STU0031,CRS007,ENR00124,14.99,2024-04-02,Stripe,Successful
PAY00099,STU0031,CRS025,ENR00125,79.99,2023-06-02,Bank Transfer,Successful
PAY00100,STU0031,CRS033,ENR00126,24.99,2024-01-27,UPI,Successful
PAY00101,STU0032,CRS013,ENR00127,79.99,2024-03-19,PayPal,Successful
PAY00102,STU0032,CRS011,ENR00128,9.99,2024-03-15,Stripe,Successful
PAY00103,STU0032,CRS026,ENR00129,9.99,2024-10-11,Credit Card,Successful
PAY00104,STU0032,CRS002,ENR00130,14.99,2024-12-15,Credit Card,Successful
PAY00105,STU0032,CRS015,ENR00131,49.99,2024-08-12,Bank Transfer,Successful
PAY00106,STU0032,CRS036,ENR00132,49.99,2024-05-20,PayPal,Successful
PAY00107,STU0033,CRS020,ENR00133,79.99,2024-03-19,Bank Transfer,Successful
PAY00108,STU0036,CRS022,ENR00147,14.99,2024-11-16,Stripe,Successful
PAY00109,STU0036,CRS023,ENR00148,19.99,2023-08-25,Stripe,Successful
PAY00110,STU0036,CRS029,ENR00149,14.99,2024-03-19,UPI,Successful
PAY00111,STU0037,CRS008,ENR00150,19.99,2023-08-20,Bank Transfer,Successful
PAY00112,STU0037,CRS009,ENR00151,29.99,2024-05-31,Bank Transfer,Successful
PAY00113,STU0037,CRS004,ENR00152,79.99,2023-04-08,PayPal,Successful
PAY00114,STU0039,CRS032,ENR00161,14.99,2023-05-30,UPI,Successful
PAY00115,STU0039,CRS011,ENR00162,9.99,2024-05-25,UPI,Successful
PAY00116,STU0039,CRS005,ENR00163,14.99,2024-07-06,Credit Card,Successful
PAY00117,STU0039,CRS040,ENR00164,49.99,2024-08-31,UPI,Successful
PAY00118,STU0039,CRS021,ENR00165,19.99,2023-04-27,Bank Transfer,Successful
PAY00119,STU0039,CRS016,ENR00166,14.99,2023-04-09,Bank Transfer,Successful
PAY00120,STU0039,CRS022,ENR00167,14.99,2024-02-14,PayPal,Successful
PAY00121,STU0039,CRS018,ENR00168,24.99,2024-07-19,Credit Card,Successful
PAY00122,STU0041,CRS036,ENR00173,49.99,2023-11-12,UPI,Successful
PAY00123,STU0041,CRS034,ENR00174,9.99,2023-09-14,UPI,Successful
PAY00124,STU0041,CRS024,ENR00175,19.99,2024-01-03,Stripe,Successful
PAY00125,STU0041,CRS007,ENR00176,14.99,2023-09-15,Bank Transfer,Successful
PAY00126,STU0041,CRS003,ENR00177,99.99,2023-10-01,UPI,Successful
PAY00127,STU0042,CRS032,ENR00178,14.99,2023-04-06,Bank Transfer,Successful
PAY00128,STU0042,CRS001,ENR00179,49.99,2024-06-24,Bank Transfer,Successful
PAY00129,STU0042,CRS034,ENR00180,9.99,2023-08-12,Credit Card,Successful
PAY00130,STU0043,CRS039,ENR00181,79.99,2023-11-23,UPI,Successful
PAY00131,STU0043,CRS040,ENR00182,49.99,2023-07-02,Bank Transfer,Successful
PAY00132,STU0043,CRS021,ENR00183,19.99,2024-01-03,PayPal,Successful
